Input_1;Input_2;Input_3;Input_4;Input_5;Input_6;Input_7;Output_1;Output_2
-0.4356;-0.1532;0.1374;-0.4744;-0.4753;-0.471;-0.4662;700;0.15
-0.6116;-0.4184;0.1374;-0.5913;-0.5874;-0.5834;-0.5796;700;0.2
-0.7058;-0.5606;0.1374;-0.6912;-0.6847;-0.6812;-0.6783;700;0.25
-0.8234;-0.7478;0.1374;-0.7761;-0.7684;-0.7654;-0.7633;700;0.3
-0.8944;-0.8486;0.1374;-0.8478;-0.8399;-0.8375;-0.8362;700;0.35
-0.0943;0.3506;-0.856;-0.1821;-0.1993;-0.1921;-0.1841;700;0.05
-0.2118;0.1821;0.1374;-0.2208;-0.2295;-0.2246;-0.2177;800;0.1
-0.3532;-0.0295;0.5687;-0.3739;-0.3742;-0.3693;-0.3641;800;0.15
-0.4821;-0.2239;0.5687;-0.5053;-0.5012;-0.4964;-0.4921;800;0.2
-0.6474;-0.4715;0.5687;-0.6188;-0.6114;-0.607;-0.6037;800;0.25
-0.7763;-0.6804;0.1374;-0.7165;-0.7062;-0.7025;-0.7;800;0.3
-0.8586;-0.7982;0.1374;-0.7979;-0.7874;-0.7843;-0.7826;800;0.35
0.0943;0.6062;-0.8036;-0.0425;-0.0415;-0.0556;-0.0478;800;0.05
0;0.5046;0.1374;-0.104;-0.0927;-0.1079;-0.1011;900;0.1
-0.2822;0.0763;0.5687;-0.2749;-0.2703;-0.2689;-0.2635;900;0.15
-0.4236;-0.1355;0.5687;-0.4216;-0.4159;-0.4105;-0.4059;900;0.2
-0.5412;-0.3123;0.5687;-0.5474;-0.5388;-0.5337;-0.53;900;0.25
-0.6939;-0.5428;0.5687;-0.6545;-0.6446;-0.6402;-0.6373;900;0.3
-0.8234;-0.7478;0.5687;-0.7453;-0.7352;-0.7314;-0.7294;900;0.35
-0.0119;0.4907;-0.7777;0.0953;0.0947;0.0784;0.086;900;0.05
