Input_P1D;Input_P2D;Input_P3D;Input_P4D;Input_P5D;Input_P1F;Input_P2F;Input_P3F;Input_P4F;Input_P5F;Output_1;Output_2
2.011;8.95;15;17;20;4.0365;6.3404;5.6814;5.138;4.6176;1250;0.12
1.282;8.95;15;17;20;2.4981;3.6736;3.3905;3.0819;2.7761;1250;0.28
1.361;8.3;15;17;20;2.6543;3.4232;3.0182;2.7919;2.5198;650;0.12
0.651;8.3;15;17;20;1.2228;1.9592;1.7823;1.6549;1.4941;650;0.28
1.637;8.3;15;17;20;3.2005;4.4212;3.9006;3.5963;3.242;850;0.12
0.887;8.95;15;17;20;1.7155;2.5477;2.3065;2.1402;1.9307;850;0.28
