Input_1;Input_2;Input_3;Input_4;Input_5;Input_6;Input_7;Output_1;Output_2
3.707;5.0864;7.65;8.8542;7.775;7.1504;6.2875;1400;0.05
2.918;4.8056;8.95;7.9949;7.1304;6.4317;5.7657;1500;0.1
2.09;4.0814;9.6;5.7389;5.2182;4.7277;4.2483;1500;0.2
1.38;2.6934;9.6;4.0784;3.7618;3.4188;3.0773;1500;0.3
1.163;2.2636;9.6;3.4261;3.1809;2.8946;2.6064;1500;0.35
1.992;3.9294;7.65;9.4146;8.2716;7.596;6.8027;1500;0.05
2.011;3.9605;8.95;8.4709;7.5551;6.8914;6.0994;1600;0.1
2.189;4.2159;9.6;6.0871;5.5348;5.0127;4.5022;1600;0.2
1.439;2.8105;9.6;4.3305;3.9943;3.6292;3.2656;1600;0.3
1.223;2.3809;9.6;3.6395;3.3791;3.0743;2.7675;1600;0.35
3.431;5.0076;8.3;9.9676;8.7637;8.0355;7.1918;1600;0.05
